Date,Series,Value
2021-01-14,Average Tone,-4.1428
2021-01-15,Average Tone,-2.7931
2021-01-16,Average Tone,-3.0474
2021-01-17,Average Tone,-2.8989
2021-01-18,Average Tone,-3.5606
2021-01-19,Average Tone,-2.9076
2021-01-20,Average Tone,-1.9282
2021-01-21,Average Tone,-2.5147
2021-01-22,Average Tone,-4.3764
2021-01-23,Average Tone,-4.1913
2021-01-24,Average Tone,-3.1092
2021-01-25,Average Tone,-3.702
2021-01-26,Average Tone,-2.3511
2021-01-27,Average Tone,-2.5113
2021-01-28,Average Tone,-2.3884
2021-01-29,Average Tone,-2.8847
2021-01-30,Average Tone,-2.4025
2021-01-31,Average Tone,-2.2453
2021-02-01,Average Tone,-2.5383
2021-02-02,Average Tone,-3.1111
2021-02-03,Average Tone,-3.276
2021-02-04,Average Tone,-2.9961
2021-02-05,Average Tone,-3.6309
2021-02-06,Average Tone,-3.0167
2021-02-07,Average Tone,-2.8352
2021-02-08,Average Tone,-3.4482
2021-02-09,Average Tone,-3.7264
2021-02-10,Average Tone,-3.9595
2021-02-11,Average Tone,-3.928
2021-02-12,Average Tone,-3.4109
2021-02-13,Average Tone,-3.8108
2021-02-14,Average Tone,-3.5891
2021-02-15,Average Tone,-2.7789
2021-02-16,Average Tone,-2.7197
2021-02-17,Average Tone,-3.8548
2021-02-18,Average Tone,-4.8293
2021-02-19,Average Tone,-3.5329
2021-02-20,Average Tone,-3.1813
2021-02-21,Average Tone,-3.8757
2021-02-22,Average Tone,-3.4253
2021-02-23,Average Tone,-3.8696
2021-02-24,Average Tone,-3.1671
2021-02-25,Average Tone,-2.8292
2021-02-26,Average Tone,-1.9506
2021-02-27,Average Tone,-2.9182
2021-02-28,Average Tone,-4.2419
2021-03-01,Average Tone,-2.8407
2021-03-02,Average Tone,-2.0112
2021-03-03,Average Tone,-2.0867
2021-03-04,Average Tone,-2.88
2021-03-05,Average Tone,-2.8132
2021-03-06,Average Tone,-2.6315
2021-03-07,Average Tone,-2.99
2021-03-08,Average Tone,-3.4571
2021-03-09,Average Tone,-3.9183
2021-03-10,Average Tone,-2.2962
2021-03-11,Average Tone,-2.3042
2021-03-12,Average Tone,-3.0953
2021-03-13,Average Tone,-3.1619
2021-03-14,Average Tone,-2.7869
2021-03-15,Average Tone,-4.6105
2021-03-16,Average Tone,-2.6331
2021-03-17,Average Tone,-2.7671
2021-03-18,Average Tone,-3.3658
2021-03-19,Average Tone,-3.6797
2021-03-20,Average Tone,-2.9796
